path	product_id	updated	quality	supplier_id	prod_id	catid	m_prod_id	ean_upc	on_market	country_market	model_name	product_view	high_pic	high_pic_size	high_pic_width	high_pic_height	m_supplier_id	m_supplier_name	ean_upc_is_approved	Limited	Date_Added
export/freexml.int/NL/1431.xml	1431	20191115135842	ICECAT	1	CHP113	714	CHP113		1	GB;IT;FR;DE;ES;NL;RU;PL;TR;SE;CH;IE;ZA;BE;NO;MY	CHP113	83217	http://images.icecat.biz/img/gallery/1431_3377549432.jpg	1246273	2843	3199				No	20051104000000
export/freexml.int/NL/1432.xml	1432	20191113151801	ICECAT	1	C2936A	853	C2936A	0088698042687;0886980426876	1	GB;DE;NO	Color and Monochrome Laser Transparencies-50 sht/A4/210 x 297 mm	128395	http://images.icecat.biz/img/norm/high/1432-HP.jpg	54707	400	400			1;0	No	20051004000000
export/freexml.int/NL/1433.xml	1433	20190410203405	SUPPLIER	1	C6984A	847	C6984A	5705965523407	1	DE	photo-quality paper, semi-glossy, two-sided, A4 (25 sheets)	23103	http://images.icecat.biz/img/norm/high/1433-9159.jpg	29903	170	190			0	No	20050715000000
export/freexml.int/NL/1434.xml	1434	20191113151841	ICECAT	1	C6951A	847	C6951A	0088698839959;8170598695123;0886988399592;5705965480861	1	NL;DE;ES	C6951A	129609	http://images.icecat.biz/img/norm/high/1434-HP.jpg	44762	400	400			1;0;0;0	No	20050912000000
export/freexml.int/NL/1435.xml	1435	20191115151006	ICECAT	1	C1821A	714	C1821A	0088698115800;0886981158004	1	DE;DK;SE;MY	C1821A	66531	http://images.icecat.biz/img/norm/high/1435-HP.jpg	75850	400	400			1;0	No	20050715000000
export/freexml.int/NL/1436.xml	1436	20191113153040	ICECAT	1	Q1742A	845	Q1742A	7251848259898;0725184825989	1	GB;DE;ES	Q1742A	65779	http://images.icecat.biz/img/gallery/1436_4334435874.jpg	550116	3193	2384			0;1	No	20050811000000
export/freexml.int/NL/1438.xml	1438	20190407094033	SUPPLIER	1	Q1715A	971	Q1715A	0725184825712	1	GB	Sahara Fine Art Paper 140 g/m²-36"/914 mm x 10.7 m	16057	http://images.icecat.biz/img/norm/high/1438-HP.jpg	5040	170	190			0	No	20050810000000
export/freexml.int/NL/1440.xml	1440	20191113153040	ICECAT	1	Q1733A	714	Q1733A	0725184825897;7251848258976	1	GB;DE;FI;SE;LU	Q1733A	92662	http://images.icecat.biz/img/norm/high/1440-HP.jpg	18747	400	400			1;0	No	20050811000000
export/freexml.int/NL/1441.xml	1441	20190624112251	ICECAT	1	Q1734A	971	Q1734A	0725184825903	1	GB	Q1734A	19117	http://images.icecat.biz/img/norm/high/1441-8783.jpg	23353	400	400			0	No	20050811000000
export/freexml.int/NL/1442.xml	1442	20190414075038	ICECAT	1	Q1899A	971	Q1899A		1	DE	scrim banner (rol, 1067 mm)	24434	http://images.icecat.biz/img/norm/high/1442-9870.jpg	7179	170	190				No	20050715000000
export/freexml.int/NL/1444.xml	1444	20191113153041	ICECAT	1	Q1914A	853	Q1914A	0088698419281;0886984192814;7612392097648;7082014032447;4102014032650;3112014032520	1	NL;BE;GB;DE;DK;FI;NO;SE;IT;ES;LU	Two-view Cling Film	74088	http://images.icecat.biz/img/norm/high/1444-HP.jpg	22821	400	300			1;0;0;0;0;0	No	20050823000000
export/freexml.int/NL/1445.xml	1445	20191113153042	ICECAT	1	Q1915A	853	Q1915A	0088698419298;0886984192982	1	NL;BE;GB;DE;DK;FI;SE;IT;ES	Two-view Cling Film	79949	http://images.icecat.biz/img/norm/high/1445-HP.jpg	22821	400	300			1;0	No	20050823000000
export/freexml.int/NL/1446.xml	1446	20190715012810	SUPPLIER	1	C1882A	853	C1882A		1	DE;GB	3M Changeable Opaque Imaging Media-914 mm x 13.7 m (36 in x 45 ft)	17889	http://images.icecat.biz/img/norm/high/1446-HP.jpg	917982	3193	2384				No	20050811000000
export/freexml.int/NL/1447.xml	1447	20190406182715	SUPPLIER	1	C1886A	853	C1886A	0088698553688	1	GB;DE	3M Matte Overlaminate Paper-1372 mm x 22.9 m (54 in x 75 ft)	20792	http://images.icecat.biz/img/norm/high/1447-HP.jpg	913150	3193	2384			0	No	20050810000000
